Datetime,Open,High,Low,Close,Volume
2024-02-13 15:38:00,184.3013,184.31,184.15,184.155,125923
2024-02-13 15:39:00,184.155,184.155,184.075,184.08,95706
2024-02-13 15:40:00,184.08,184.26,184.065,184.25,115200
2024-02-13 15:41:00,184.245,184.3182,184.21,184.255,147619
2024-02-13 15:42:00,184.259,184.405,184.255,184.28,166404
2024-02-13 15:43:00,184.28,184.4,184.27,184.36,136621
2024-02-13 15:44:00,184.355,184.41,184.31,184.4,97424
2024-02-13 15:45:00,184.405,184.46,184.39,184.4263,101594
2024-02-13 15:46:00,184.425,184.43,184.3,184.32,169123
2024-02-13 15:47:00,184.32,184.44,184.32,184.4,127626
2024-02-13 15:48:00,184.4,184.455,184.385,184.4,101035
2024-02-13 15:49:00,184.4,184.4385,184.28,184.41,172088
2024-02-13 15:50:00,184.41,184.625,184.409,184.555,238545
2024-02-13 15:51:00,184.56,184.6476,184.49,184.515,163998
2024-02-13 15:52:00,184.52,184.68,184.5,184.6503,189549
2024-02-13 15:53:00,184.66,184.755,184.66,184.7499,159628
2024-02-13 15:54:00,184.74,184.83,184.6899,184.795,214087
2024-02-13 15:55:00,184.79,185.05,184.68,185.024,313956
2024-02-13 15:56:00,185.02,185.14,184.965,185.13,268272
2024-02-13 15:57:00,185.14,185.2,184.85,184.87,279686
2024-02-13 15:58:00,184.875,185.14,184.85,185.1,573992
2024-02-13 15:59:00,185.1,185.16,184.96,185.04,7490457
2024-02-14 09:30:00,185.32,185.53,185.2,185.27,645675
2024-02-14 09:31:00,185.24,185.41,185.02,185.16,147792
2024-02-14 09:32:00,185.14,185.2308,185.0,185.04,192831
2024-02-14 09:33:00,185.05,185.31,185.0,185.07,148686
2024-02-14 09:34:00,185.065,185.18,185.02,185.05,123157
2024-02-14 09:35:00,185.06,185.1,184.89,184.98,180690
2024-02-14 09:36:00,184.986,185.035,184.79,184.943,143461
2024-02-14 09:37:00,184.95,185.04,184.9,184.905,103347
2024-02-14 09:38:00,184.9,184.97,184.83,184.87,127042
2024-02-14 09:39:00,184.87,184.87,184.58,184.61,162389
2024-02-14 09:40:00,184.605,184.67,184.55,184.615,124508
2024-02-14 09:41:00,184.615,184.6171,184.38,184.42,186604
2024-02-14 09:42:00,184.425,184.55,184.32,184.33,204756
2024-02-14 09:43:00,184.335,184.5,184.22,184.42,198239
2024-02-14 09:44:00,184.4299,184.4482,184.2,184.25,122882
2024-02-14 09:45:00,184.27,184.4016,184.26,184.29,110841
2024-02-14 09:46:00,184.29,184.43,184.2586,184.3235,192228
2024-02-14 09:47:00,184.329,184.44,184.29,184.38,121752
2024-02-14 09:48:00,184.4,184.47,184.3297,184.3297,137276
2024-02-14 09:49:00,184.3284,184.335,184.115,184.16,145669
